"No.","Time","Source","Destination","Protocol","Length","Info"
"2184","23.683340658","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=434111 Ack=8588 Win=90112 Len=1208 TSval=1176364129 TSecr=986382760 [TCP PDU reassembled in 2186]"
"2185","23.683340688","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=435319 Ack=8588 Win=90112 Len=1208 TSval=1176364129 TSecr=986382760 [TCP PDU reassembled in 2186]"
"2186","23.683340715","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2187","23.683340742","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=437735 Ack=8588 Win=90112 Len=1208 TSval=1176364130 TSecr=986382760 [TCP PDU reassembled in 2193]"
"2188","23.683340769","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=438943 Ack=8588 Win=90112 Len=1208 TSval=1176364130 TSecr=986382760 [TCP PDU reassembled in 2193]"
"2189","23.683367898","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=432903 Win=208896 Len=0 TSval=986382817 TSecr=1176364129"
"2190","23.683391430","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=440151 Ack=8588 Win=90112 Len=1208 TSval=1176364130 TSecr=986382760 [TCP PDU reassembled in 2193]"
"2191","23.683391508","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=441359 Ack=8588 Win=90112 Len=1208 TSval=1176364131 TSecr=986382760 [TCP PDU reassembled in 2193]"
"2192","23.683391560","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=442567 Ack=8588 Win=90112 Len=1208 TSval=1176364131 TSecr=986382760 [TCP PDU reassembled in 2193]"
"2193","23.683391592","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2194","23.683769471","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","QUIC","105","Protected Payload (KP0), DCID=11140e0005a8b8a9fe6f1f50fd3fe492559c96d5"
"2195","23.683821968","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=444983 Win=199680 Len=0 TSval=986382817 TSecr=1176364129"
"2196","23.686681277","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Protected Payload (KP0), DCID=8ca9c0"
"2197","23.686681519","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Protected Payload (KP0), DCID=8ca9c0"
"2198","23.686681557","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Protected Payload (KP0), DCID=8ca9c0"
