"No.","Time","Source","Destination","Protocol","Length","Info"
"29","6.153149947","fe80::9683:c4ff:fe22:da08","ff02::1","ICMPv6","286","Router Advertisement from 94:83:c4:22:da:08"
"30","6.155980293","fe80::84c6:4b18:4f3:b8da","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"31","6.177834145","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","165","Application Data"
"32","6.218886182","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TCP","86","52474  >  443 [ACK] Seq=89 Ack=80 Win=63 Len=0 TSval=1477126964 TSecr=2285601211"
"33","6.383960871","fe80::84c6:4b18:4f3:b8da","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"34","6.554431401","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"35","6.743653188","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TLSv1.2","174","Application Data"
"36","6.861982027","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","165","Application Data"
"37","6.862021230","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TCP","86","52474  >  443 [ACK] Seq=177 Ack=159 Win=63 Len=0 TSval=1477127607 TSecr=2285601885"
"38","7.578408512","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"39","8.602043151","0.0.0.0","255.255.255.255","DHCP","326","DHCP Discover - Transaction ID 0x13b8d47c"
"40","8.602057194","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"41","9.420617354","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"42","9.432442337","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0x87729feb"
"43","9.695622072","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","115","Standard query 0x4ced A uclouvain.be OPT"
"44","9.740909186","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","110","Application Data"
"45","9.740944744","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TCP","86","52474  >  443 [ACK] Seq=177 Ack=183 Win=63 Len=0 TSval=1477130486 TSecr=2285604538"
"46","9.741101463","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TLSv1.2","114","Application Data"
"47","9.790393492","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","119","Standard query response 0x4ced A uclouvain.be A 130.104.254.195 OPT"
"48","9.823216821","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","443  >  52474 [ACK] Seq=183 Ack=205 Win=19 Len=0 TSval=2285604856 TSecr=1477130486"
"49","10.544098688","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"50","10.969732293","fe80::9683:c4ff:fe22:da08","fe80::84c6:4b18:4f3:b8da","ICMPv6","86","Neighbor Solicitation for fe80::84c6:4b18:4f3:b8da from 94:83:c4:22:da:08"
"51","10.969779905","fe80::84c6:4b18:4f3:b8da","fe80::9683:c4ff:fe22:da08","ICMPv6","78","Neighbor Advertisement fe80::84c6:4b18:4f3:b8da (sol)"
